BICLUSTER_ID,MSR
271086,554.625
263402,600.548
248646,619.687
233793,638.492
213572,661.36
127133,685.165
137371,691.396
125046,701.163
242068,757.155
28482,773.421
34078,785.833
108127,819.157
397191,819.454
399287,826.82
304648,841.244
309461,871.234
55446,871.382
151346,882.45
51934,885.791
348813,933.21
17866,938.951
328846,978.421
149617,980.055
386056,988.093
268294,992.46
235420,994.178
66448,1003.16
253559,1012.9
68023,1016.72
178912,1036.29
64732,1046.49
77761,1049.02
48358,1050.41
248712,1055.59
92665,1070.62
185520,1071.98
221187,1075.02
317051,1075.65
34112,1094.48
90523,1128.8
268694,1129.57
197753,1135.6
82429,1145.91
44825,1149.87
159572,1150.87
200531,1151.07
286845,1156.08
182911,1170.17
385561,1182.33
334160,1183.25
316355,1188.71
61732,1193.14
296738,1201.02
9177,1202.09
75805,1202.3
310279,1205.87
210041,1213.52
346578,1215.2
182978,1220.71
64365,1222.18
201369,1228.1
296880,1230.25
341654,1232.81
35439,1232.89
25648,1234.26
27155,1234.35
192359,1238.91
174272,1243.03
170915,1250.35
355027,1253.9
198226,1258.55
314196,1258.77
163094,1261.79
102908,1262.84
137864,1265.69
238276,1277.58
17618,1281.84
214795,1283.18
61228,1285.21
232195,1292.71
277650,1295.97
46983,1297.58
129096,1303.16
76279,1306.37
181981,1308
262153,1309.48
250812,1310.84
359367,1310.97
341280,1313.88
26033,1317.86
267649,1324.81
42309,1332.42
372273,1337.85
2201,1338.33
373188,1338.34
197720,1338.49
258901,1342.75
127213,1343.72
304361,1348.37
274845,1349.32
